x_coordinate,y_coordinate
-5.72,0.697
-5.71,0.6973
-5.72,0.678
-5.715,0.6685
-5.703,0.673
-5.707,0.685
-5.715,0.683
-5.72,0.6943
-5.715,0.6914
-5.71,0.6724
-5.7,0.6836
-5.703,0.68
-5.69,0.673
-5.69,0.683
-5.67,0.671
-5.67,0.674
-5.67,0.6953
-5.688,0.689
-5.676,0.7046
-5.7,0.7056
-5.723,0.7036
-5.707,0.6943
-5.703,0.707
-5.703,0.71
-5.707,0.7207
-5.7,0.737
-5.684,0.735
-5.66,0.7324
-5.66,0.7266
-5.664,0.7363
-5.664,0.7593
-5.664,0.7554
-5.684,0.765
-5.67,0.7617
-5.664,0.765
-5.65,0.7725
-5.66,0.796
-5.668,0.7896
-5.67,0.7837
-5.656,0.78
-5.64,0.7905
-5.637,0.7983
-5.637,0.7954
-5.613,0.808
-5.613,0.8125
-5.62,0.806
-5.61,0.8076
-5.59,0.8066
-5.566,0.794
-5.555,0.7886
-5.566,0.777
-5.55,0.764
-5.555,0.7695
-5.547,0.7725
-5.54,0.7715
-5.547,0.7773
-5.555,0.782
-5.574,0.7817
-5.57,0.756
-5.58,0.7466
-5.586,0.763
-5.586,0.774
-5.582,0.772
-5.598,0.765
-5.59,0.7466
-5.582,0.766
-5.594,0.7725
-5.617,0.7803
-5.62,0.7783
-5.617,0.772
-5.637,0.761
-5.64,0.7544
-5.633,0.767
-5.652,0.76
-5.637,0.765
-5.656,0.753
-5.66,0.766
-5.65,0.7754
-5.668,0.7686
-5.656,0.7793
-5.66,0.7896
-5.664,0.7773
-5.645,0.7617
-5.668,0.761
-5.676,0.755
-5.684,0.7627
-5.68,0.752
-5.707,0.747
-5.71,0.751
-5.715,0.734
-5.695,0.7446
-5.688,0.7427
-5.707,0.7334
-5.703,0.72
-5.707,0.712
-5.71,0.6987
-5.703,0.696
-5.707,0.7026
-5.68,0.7007
-5.668,0.686
-5.668,0.699
-5.65,0.7085
-5.633,0.7
-5.65,0.691
-5.652,0.694
-5.637,0.6777
-5.65,0.669
-5.637,0.6636
-5.617,0.661
-5.625,0.6494
-5.637,0.6685
-5.63,0.655
-5.645,0.658
-5.645,0.669
-5.64,0.6836
-5.66,0.6855
-5.645,0.6973
-5.63,0.6987
-5.62,0.688
-5.62,0.6987
-5.62,0.7114
-5.62,0.7153
-5.6,0.6904
-5.6,0.694
-5.6,0.6797
-5.586,0.686
-5.6,0.676
-5.594,0.6685
-5.586,0.6694
-5.582,0.671
-5.58,0.6714
-5.586,0.6924
-5.59,0.6875
-5.582,0.6914
-5.582,0.694
-5.598,0.6978
-5.58,0.7197
-5.59,0.72
-5.598,0.7173
-5.617,0.711
-5.61,0.7134
-5.625,0.734
-5.613,0.739
-5.617,0.7393
-5.62,0.7417
-5.617,0.7437
-5.605,0.749
-5.61,0.745
-5.625,0.7397
-5.625,0.751
-5.625,0.7524
-5.62,0.761
-5.605,0.7476
-5.605,0.7563
-5.625,0.7544
-5.62,0.7583
-5.625,0.76
-5.61,0.763
-5.613,0.76
